riglocaltime,adpvwob,adpvrop,adsprop,adpvdeltap,adspdeltap,adpvtorque,adsptorque,adspwob,tdmodestate,topdrivespeed,topdrivetorque,blockvelocity,elevatorposition,hookload,standpipepressure,bitdepth,bottomdepth,utctimeseconds,mp3vfdfreqpv,mp2vfdfreqpv,mp1vfdfreqpv,pump1strokes,pump2strokes,pump3strokes,mplinersizesp,tdvfdrevst,tdmtrenccnts,tdoscltrevrossp,tdoscltfwdpossp,tdoscltoffset,tdoscltspdsp,tdosclttrqlim,tdcontrqsp,LocalTime,Wraps
2023-01-09 01:17:38,-3.94181990623474,99.5145034790039,100,-1645.291015625,800,12.0580701828003,27,45,1,65.0857162475586,12.2208499908447,-1.66014397144318,91.1578369140625,229.583694458008,2238.75,20929.099609375,20929.19921875,1673248658,18.1499996185303,18.3299999237061,19,42.4028282165527,41,41.4364585876465,5.5,0,6939,10,10,1,70,26,45,2023-01-09T07:17:38Z,10
2023-01-09 01:17:39,-3.70595598220825,99.6759185791016,100,-1639.84497070313,800,11.9718704223633,27,45,1,65.0571365356445,11.3988199234009,-1.62282395362854,91.1369934082031,230.005798339844,2205,20929.099609375,20929.19921875,1673248659,18.6800003051758,18.2600002288818,19.0799999237061,43,42,41.4364585876465,5.5,0,42363,10,10,1,70,26,45,2023-01-09T07:17:39Z,10
2023-01-09 01:17:40,-3.58973503112793,99.3621063232422,100,-1637.51098632813,800,12.045880317688,27,45,1,65.0571365356445,11.4536199569702,-1.7075320482254,91.1005172729492,230.194702148438,2230,20929.099609375,20929.19921875,1673248660,18.1900005340576,18.2999992370605,18.3400001525879,49.7100296020508,42,41.4364585876465,5.5,0,17843,10,10,1,70,26,45,2023-01-09T07:17:40Z,10
2023-01-09 01:17:41,-3.51857495307922,99.5807266235352,100,-1638.375,800,12.0144596099854,27,45,1,65,12.4400596618652,-1.6587690114975,91.0770568847656,229.134902954102,2238.75,20929.099609375,20929.19921875,1673248661,18.1499996185303,17.9500007629395,18.8299999237061,49.7100296020508,42,41.4364585876465,5.5,0,12093,10,10,1,70,26,45,2023-01-09T07:17:41Z,10
2023-01-09 01:17:42,-3.17784810066223,99.5518798828125,100,-1633.68994140625,800,12.084210395813,27,45,1,64.6285705566406,12.8236703872681,-1.66971302032471,91.0405883789062,229.172393798828,2243.75,20929.099609375,20929.19921875,1673248662,18.6900005340576,18.7399997711182,18.7099990844727,42.4028282165527,42,41.4364585876465,5.5,0,30610,10,10,1,70,26,45,2023-01-09T07:17:42Z,10
2023-01-09 01:17:43,-2.9385941028595,99.6708297729492,100,-1632.64404296875,800,12.0493097305298,27,45,1,64.7142868041992,12.4948596954346,-1.60182201862335,91.0197372436524,228.830993652344,2248.75,20929.240234375,20929.240234375,1673248663,18.5100002288818,18.2000007629395,19.1000003814697,42.4028282165527,41,41.4078712463379,5.5,0,26713,10,10,1,70,26,45,2023-01-09T07:17:43Z,10
2023-01-09 01:17:44,-2.69784593582153,99.05029296875,100,-1627.75,800,12.1902198791504,27,45,1,64.8285827636719,12.3304500579834,-1.64531803131104,90.9989013671875,228.641296386719,2255,20929.240234375,20929.240234375,1673248664,18.7600002288818,18.6200008392334,18.4200000762939,42.4028282165527,42,41.4078712463379,5.5,0,19112,10,10,1,70,26,45,2023-01-09T07:17:44Z,10
2023-01-09 01:17:45,-2.35059499740601,99.7231063842774,100,-1626.26696777344,800,12.1416501998901,27,45,1,65.2857131958008,11.5632200241089,-1.66160094738007,90.9598236083984,228.711196899414,2246.25,20929.240234375,20929.240234375,1673248665,18.0900001525879,18.3099994659424,19.0599994659424,42.4028282165527,42,41.4364585876465,5.5,0,39464,10,10,1,70,26,45,2023-01-09T07:17:45Z,10
2023-01-09 01:17:46,-2.26209402084351,99.6389770507812,100,-1625.01696777344,800,12.2240800857544,27,45,1,64.6285705566406,12.9880800247192,-1.66567099094391,90.9363708496094,228.480804443359,2235,20929.240234375,20929.240234375,1673248666,18.4099998474121,18.0100002288818,19.0200004577637,42.4328193664551,42,41.4364585876465,5.5,0,35608,10,10,1,70,26,45,2023-01-09T07:17:46Z,10
2023-01-09 01:17:47,-2.21419811248779,99.4750366210938,100,-1626.86694335938,800,12.273229598999,27,45,1,64.8571395874023,12.7688703536987,-1.68248498439789,90.91552734375,228.004501342773,2263.75,20929.240234375,20929.240234375,1673248667,18.5499992370605,18.7800006866455,19.1000003814697,42.4028282165527,43,41.4364585876465,5.5,0,29865,10,10,1,70,26,45,2023-01-09T07:17:47Z,10
2023-01-09 01:17:48,-1.94772899150848,99.434066772461,100,-1618.01196289063,800,12.4020299911499,27,45,1,65.0857162475586,12.3304500579834,-1.6575870513916,90.8790588378906,228.251907348633,2247.5,20929.380859375,20929.380859375,1673248668,18.3199996948242,18.1399993896484,18.4099998474121,42.4028282165527,41,41.4364585876465,5.5,0,5335,10,10,1,70,26,45,2023-01-09T07:17:48Z,10
2023-01-09 01:17:49,-1.83097302913666,99.7074508666992,100,-1615.44897460938,800,12.4438800811768,27,45,1,64.7714309692383,13.8649101257324,-1.65733897686005,90.8582229614258,227.538696289063,2265,20929.380859375,20929.380859375,1673248669,18.6200008392334,18.2099990844727,18.9500007629395,42.4028282165527,42,41.4364585876465,5.5,0,40739,10,10,1,70,26,45,2023-01-09T07:17:49Z,10
